,id,created_at,text
65,1462939524225449989,2021-11-23T00:22:17.000Z,"Covid detention Camps in Canada? PM,Justin Trudeau,must be preparing to make an announcement? Why not? Maybe Dec. 21st. Close to Christmas.Just to throw people off guard &amp; ruin the season perhaps? Now just a few hints being let loose B4 KABOOM time?Military trucks too perhaps? https://t.co/Jml1zStW9q"
66,1462939423016894466,2021-11-23T00:21:53.000Z,Canada ends COVID-19 policy turning back asylum-seekers between border crossings https://t.co/ZQ8TRZrFxn
67,1462939144695468037,2021-11-23T00:20:46.000Z,"Information just coming out from Curling Canada about Team Walker third Kate Cameron being ill at #Trials2021. She will miss tonight's game and be replaced by Erin Pincott, but all members of the team have tested negative for COVID-19. #Curling #Olympics https://t.co/2iUMjM1Bla"
68,1462938899412520962,2021-11-23T00:19:48.000Z,"The whole story of Covid, and our world affairs right now. From Canada: https://t.co/BUlfTPvTjK"
69,1462938200008282114,2021-11-23T00:17:01.000Z,Misinformation in the courtroom: How cases challenging COVID-19 restrictions in Alberta have shifted | CBC News https://t.co/vg2Yja1caL
70,1462938027475439619,2021-11-23T00:16:20.000Z,"I’m doing my part to help track flu-like illness, like COVID-19. You can, too! Become a FluWatcher today. https://t.co/E0dDiPRKNn #FluWatchers"
71,1462937264443609089,2021-11-23T00:13:18.000Z,financial careers at https://t.co/VCmmZrK7YO | Air Canada agrees to pay $4.5M for delays in giving out COVID-19 refunds | CBC News | careers at https://t.co/VCmmZrK7YO https://t.co/DftS0BnRl0
72,1462936831561895936,2021-11-23T00:11:35.000Z,In the news: Coronavirus: What's happening in Canada and around the world Monday | CBC News https://t.co/MEW3KLCzcc #coronavirus #COVID19 #2019ncov
73,1462936768211128321,2021-11-23T00:11:20.000Z,"@dora_saar You should just keep showing up for work without the covid vaccines and or masks and or passports &amp; just let them call the cops, it’s all illegal, the labor board of Canada said they can’t let people go over the mandates,"
74,1462936757242982404,2021-11-23T00:11:17.000Z,@dwnews Hi from Canada.  👋  My doctor’s opinion is similar:  We’ve got about 90% of adults to at least their 1st dose.  Over the holidays there will be more COVID spreading.  Once those people recover we should be over the threshold for “herd immunity!”  🙏
75,1462936595837894661,2021-11-23T00:10:39.000Z,@Canada please protect your citizens don't allow them to go to CUBA they are not safe from the COVID not protected with any rights !!! https://t.co/mknCiMdHF7
76,1462936413456977931,2021-11-23T00:09:55.000Z,⚠️ Anti-vaxxers are about to change Canada. One of  top priorities of Justin Trudeau's new government will be a legislated crackdown on protests against hospitals and health-care workers  #SARSCoV2 #Covid19 #cdnpoli #polcan @ALEX451618    https://t.co/q9aih9oUrl
77,1462936245001089027,2021-11-23T00:09:15.000Z,"Alberta reports 1,125 new cases of COVID-19 over 3 days, 6 new deaths | CBC News https://t.co/b1EZPXFHBW"
78,1462936147013693442,2021-11-23T00:08:52.000Z,"Last week, Health Canada authorized the use of the Pfizer-BioNTech #Comirnaty COVID-19 vaccine in children aged 5-11.   Read what BC Children's Hospital pediatricians have to say: https://t.co/jFNJ9Dd91g  #COVID19 #vaccine #kids https://t.co/PEAfhhbGfk"
79,1462935846643027976,2021-11-23T00:07:40.000Z,"""Deadly COVID-19 spike after church event is 'unfortunate' but part of God's plan, says pastor"" https://t.co/HAjwKpYJDV"
80,1462935639112912896,2021-11-23T00:06:51.000Z,Misinformation in the courtroom: How cases challenging COVID-19 restrictions in Alberta have shifted | CBC News https://t.co/Mhw6HvNSCR
81,1462935320899448841,2021-11-23T00:05:35.000Z,"Canada hopes to keep number of wasted COVID-19 doses below 5 per cent, Public Health Agency says | CBC News https://t.co/YQdft0Zjqj"
82,1462935295645691911,2021-11-23T00:05:29.000Z,Saskatchewan to ban COVID-19 protests near schools as it rolls out vaccine shots for kids https://t.co/vSFbHYrNPX
83,1462935245028614145,2021-11-23T00:05:17.000Z,"@leagueofemily I am.   It'll never be the same after the great Zamboni Driver Incident or idk, losing in the special Canada only COVID playoffs as the strongest Canadian team -_-  But it's a good ride at least."
84,1462935220491980804,2021-11-23T00:05:11.000Z,"...."" did not respond to questions regarding why it was ending the policy now and what if any quarantine rules would apply to asylum-seekers who are not vaccinated.""  Canada ends Covid-19 policy turning back asylum-seekers between border crossings - CNN https://t.co/jkd2GNuFPS"
85,1462935084898693126,2021-11-23T00:04:38.000Z,"@CPHO_Canada FYI Parents, this is a lot different than what the WHO is recommending: ""More evidence is needed on the use of the different COVID-19 vaccines in children to be able to make general recommendations on vaccinating children against COVID-19."" {https://t.co/L2XjWuahK8}"
86,1462935041646989317,2021-11-23T00:04:28.000Z,🇨🇦 CBC News : Track how many people have been given the COVID-19 vaccine across Canada🇨🇦 https://t.co/L8gVO3llLF
87,1462934777237884928,2021-11-23T00:03:25.000Z,"In a virtual news conference, Dr. Supriya Sharma, chief medical adviser with Health Canada, confirms the department's regulatory approval of the Pfizer-BioNTech Comirnaty COVID-19 vaccine for children ages five to 11. This is the first COVID-19 vaccine https://t.co/o5lfXg74lC"
88,1462934176886366208,2021-11-23T00:01:02.000Z,#Canada has announced that it will exempt certain short-term travelers from COVID-19 testing requirements and expand its list of approved vaccines on Nov. 30. Details: https://t.co/zywuToxftI  #immigration #travel #covid19 #globalmobility #hr
89,1462933995537289219,2021-11-23T00:00:19.000Z,1 - Air Canada agrees to pay $4.5M for delays in giving out U.S. COVID-19 refunds - https://t.co/eoUaSIrX4P... ... #overallnews #air #canada #agrees #pay #m https://t.co/xI735Yxejc
90,1462933920547328007,2021-11-23T00:00:01.000Z,"As the Canadian government prepares to launch a vaccination campaign targeting children as young as five, Health Canada has revealed that six kids under the age of 15 have died from the virus. #cdnpoli   https://t.co/4VAUG5JQf7"
